episode,reward,eps,n_states
300,1795.9180000000001,0.1094,705
301,1872.304000000001,0.1064,705
302,2029.364000000001,0.1034,705
303,1873.2390000000003,0.1005,706
304,1785.2160000000015,0.0975,706
305,1947.3790000000015,0.0945,706
306,1740.4800000000002,0.0916,707
307,1876.1220000000008,0.0886,707
308,1981.4550000000015,0.0856,708
309,1914.7760000000012,0.0827,708
310,1925.8000000000015,0.0797,708
311,1803.031,0.0767,708
312,1902.5990000000015,0.0738,709
313,1957.6990000000012,0.0708,710
314,1942.2260000000022,0.0678,710
315,2006.3460000000011,0.0648,710
316,1935.3510000000003,0.0619,710
317,1869.283000000001,0.0589,710
318,1981.9180000000026,0.0559,710
319,1931.3020000000006,0.053,711
320,1950.9879999999998,0.05,712
321,2015.1980000000005,0.05,712
322,1952.7820000000017,0.05,714
323,1950.7750000000015,0.05,714
324,1796.5040000000008,0.05,714
325,1933.7409999999995,0.05,715
326,2048.036,0.05,715
327,1867.0009999999997,0.05,715
328,1630.1360000000006,0.05,715
329,1915.5560000000007,0.05,715
330,1758.9840000000008,0.05,715
331,1842.1950000000008,0.05,715
332,1901.7170000000006,0.05,716
333,1912.8910000000008,0.05,716
334,1884.6390000000004,0.05,716
335,1790.6660000000004,0.05,716
336,1633.9580000000003,0.05,716
337,1947.4410000000014,0.05,716
338,2024.1699999999998,0.05,716
339,1758.237000000001,0.05,716
340,1735.9640000000004,0.05,716
341,2009.2749999999996,0.05,717
342,1854.5930000000017,0.05,718
343,1716.6660000000008,0.05,719
344,1802.8269999999998,0.05,719
345,1846.5100000000002,0.05,719
346,1766.6730000000011,0.05,720
347,1825.7190000000007,0.05,720
348,1990.9660000000013,0.05,720
349,1856.4290000000008,0.05,720
350,1873.6480000000001,0.05,720
351,1644.4050000000016,0.05,721
352,2024.9870000000003,0.05,721
353,1925.5040000000004,0.05,721
354,1969.3710000000008,0.05,721
355,1853.8360000000005,0.05,721
356,1769.8160000000016,0.05,721
357,1904.948000000001,0.05,721
358,1812.7140000000013,0.05,721
359,1871.7700000000002,0.05,721
360,1907.1110000000008,0.05,721
361,1796.6770000000004,0.05,723
362,1989.0480000000007,0.05,724
363,1855.531,0.05,724
364,1721.015,0.05,724
365,1935.8360000000002,0.05,724
366,2135.2460000000005,0.05,724
367,1879.6089999999997,0.05,724
368,1861.461000000001,0.05,724
369,1854.3520000000017,0.05,724
370,1837.4879999999996,0.05,724
371,2077.627,0.05,724
372,1937.158000000001,0.05,724
373,1848.5259999999996,0.05,724
374,1891.1309999999996,0.05,724
375,1885.5870000000002,0.05,724
376,1900.5240000000015,0.05,724
377,1946.3570000000002,0.05,725
378,1749.9750000000004,0.05,725
379,1826.5170000000014,0.05,725
380,1916.0750000000007,0.05,726
381,2002.3510000000006,0.05,727
382,1836.2940000000006,0.05,727
383,1881.6930000000004,0.05,728
384,1889.8860000000016,0.05,728
385,1856.6860000000004,0.05,728
386,1818.4890000000005,0.05,728
387,1869.5700000000002,0.05,729
388,1816.2699999999995,0.05,732
389,1679.2990000000007,0.05,732
390,1877.9770000000017,0.05,732
391,1620.2970000000005,0.05,734
392,1609.058,0.05,734
393,1967.4640000000027,0.05,735
394,1843.4849999999997,0.05,737
395,1868.2570000000005,0.05,737
396,1849.4050000000007,0.05,737
397,1851.5230000000015,0.05,737
398,1628.922,0.05,739
399,1765.6,0.05,739
