step,episode,ep_return,epsilon
64271,837,-862.4130,0.7965
64389,838,7.5940,0.7961
64459,839,-465.6680,0.7959
64525,840,-440.0480,0.7957
64665,841,-275.0100,0.7952
64739,842,-761.6170,0.7950
64892,843,176.6190,0.7945
64976,844,-407.7990,0.7942
65092,845,-744.0400,0.7939
65213,846,-137.7340,0.7935
65301,847,-223.6820,0.7932
65388,848,-352.0380,0.7929
65521,849,172.2720,0.7925
65631,850,-205.8140,0.7922
65714,851,-200.9590,0.7919
65807,852,-237.8810,0.7916
65953,853,-107.9350,0.7912
66049,854,-312.1890,0.7908
66173,855,-193.4940,0.7905
66255,856,-296.9260,0.7902
66330,857,-629.2970,0.7900
66454,858,102.9110,0.7896
66515,859,-296.5560,0.7894
66598,860,-103.9570,0.7891
66715,861,-805.5170,0.7887
66810,862,-640.4800,0.7884
66874,863,-454.0980,0.7882
66985,864,-177.1600,0.7879
67042,865,-375.2350,0.7877
67135,866,-400.2740,0.7874
67203,867,-302.0830,0.7872
67305,868,-356.4290,0.7869
67411,869,-177.8760,0.7865
67518,870,-346.5110,0.7862
67605,871,-461.8530,0.7859
67710,872,-1043.7660,0.7856
67815,873,-119.9610,0.7853
67932,874,-36.7660,0.7849
68005,875,-459.9000,0.7847
68126,876,-40.8830,0.7843
68241,877,-284.8890,0.7839
