episode,return,shaped_return,loss
384,-1017.375,5167.625,3426340.5
385,-909.834,5285.166,3367826.0
386,-1526.398,5883.602,5698126.5
387,-247.164,6402.836,3742226.25
388,-1733.296,5446.704,4275231.0
389,-747.838,5477.162,3252548.75
390,-936.579,5703.421,4354728.5
391,-536.503,3598.497,1956206.375
392,-396.288,5118.712,2799446.75
393,-460.388,3484.612,2040810.125
394,-640.854,5824.146,3754363.0
395,-436.457,6208.543,3761587.0
396,-391.122,5763.878,3176149.5
397,-529.007,5850.993,3512762.25
398,-133.003,2466.997,878337.125
399,-1053.509,5141.491,4026840.25
400,-366.451,4723.549,2558182.5
401,-397.052,5162.948,3240418.5
402,-957.031,5332.969,3190370.0
403,-617.405,5192.595,3368771.5
404,-586.544,4308.456,2500796.5
405,-649.986,5670.014,3320546.0
406,-781.995,4718.005,3027658.75
407,-1062.937,6147.063,4535232.5
408,-1405.222,6169.778,5798232.0
409,-561.019,3108.981,1484568.625
410,-597.884,5842.116,3878050.5
411,-120.342,2674.658,971874.9375
412,-319.344,6345.656,4000832.25
413,-666.877,4368.123,2541926.75
414,-662.3,3712.7,2514948.25
415,-1076.107,4083.893,2803421.25
416,-244.413,3110.587,1421684.0
417,-372.055,3577.945,1881059.25
418,-267.804,3787.196,1826236.875
419,-1261.915,5748.085,4406047.5
420,-1356.325,5873.675,4956912.0
421,-895.828,5464.172,3852182.5
422,-1047.973,5867.027,4338738.0
423,-1108.149,5386.851,4031707.5
424,-319.604,2245.396,943620.0625
425,-753.257,5401.743,4014650.75
426,-558.502,5281.498,3024705.25
427,-113.791,6161.209,3521020.75
428,-288.274,3486.726,1714835.75
429,-1487.521,6262.479,5298425.5
430,-602.603,4262.397,2715197.5
431,-892.77,5717.23,3879128.25
432,-657.246,5192.754,2773276.0
433,-758.618,5551.382,3441217.25
434,-1530.328,5514.672,4365959.0
435,102.136,3377.136,1418392.375
436,-353.025,5476.975,2893573.25
437,-802.954,3722.046,2218841.75
438,-197.956,3032.044,1298905.125
439,160.069,5930.069,2779520.75
440,-810.144,6004.856,4040168.0
441,-362.287,3217.713,1698666.5
442,-411.312,4668.688,2370084.5
443,-323.821,3321.179,1586486.0
444,-625.193,6414.807,4201808.0
445,-993.598,5626.402,4154959.5
446,-796.493,5868.507,3362694.5
447,-357.961,6272.039,3728239.25
448,-545.132,5629.868,3291678.25
449,-542.139,5777.861,3632582.25
450,-961.459,5193.541,3441821.5
451,-135.219,3929.781,1814540.5
452,-1023.337,6171.663,4615348.0
453,-743.075,5561.925,3268145.0
454,-677.915,6212.085,4236416.5
455,-202.286,6057.714,2963907.5
456,-604.907,4395.093,2525488.75
457,-114.188,3005.812,1403995.375
458,-132.148,6337.852,3804903.0
459,-541.333,5388.667,3181781.0
460,-1037.68,5677.32,4217877.0
461,-929.798,6220.202,4428968.5
462,-561.568,4303.432,2497617.0
463,-361.708,4743.292,2291922.25
464,-850.168,5549.832,3834824.5
465,-1402.283,5682.717,5014494.0
466,-140.041,6129.959,3096458.75
467,-788.917,5296.083,2972793.5
468,-1170.286,5529.714,4152086.75
469,-795.855,5344.145,3668026.5
470,-546.133,6563.867,4262765.0
471,-1066.787,4528.213,2936820.0
472,-678.808,6631.192,4085991.25
473,-1210.91,5989.09,4547468.5
474,-1607.019,6082.981,5048327.5
475,-195.67,4189.33,2122235.5
